shipment_id,order_id,carrier,promised_delivery_date,actual_delivery_date,delay_days,shipment_status
52,63,UPS,2026-07-14,2026-07-15,1,Delivered
53,64,USPS,2026-07-16,2026-07-16,0,Delivered
54,66,USPS,2026-07-14,2026-07-15,1,Delivered
55,67,FedEx,2026-07-15,2026-07-16,1,Delayed
56,69,DHL,2026-07-17,2026-07-17,0,Delivered
57,71,DHL,2026-07-13,2026-07-14,1,Delayed
58,73,DHL,2026-07-12,2026-07-12,0,Delivered
59,75,DHL,2026-07-12,2026-07-13,1,Delivered
60,76,DHL,2026-07-12,2026-07-11,0,Delivered
61,77,UPS,2026-07-17,2026-07-17,0,Delivered
62,78,USPS,2026-07-13,2026-07-13,0,Delivered
63,79,FedEx,2026-07-17,2026-07-22,5,Delayed
64,82,UPS,2026-07-12,2026-07-15,3,Delayed
65,83,UPS,2026-07-15,2026-07-16,1,Delivered
66,84,FedEx,2026-07-16,2026-07-17,1,Delivered
67,85,USPS,2026-07-16,2026-07-17,1,Delivered
68,86,UPS,2026-07-16,2026-07-17,1,Delivered
69,87,DHL,2026-07-14,2026-07-13,0,Delivered
70,91,UPS,2026-07-15,2026-07-15,0,Delivered
71,93,FedEx,2026-07-13,2026-07-12,0,Delivered
72,94,DHL,2026-07-14,2026-07-15,1,Delivered
73,95,UPS,2026-07-17,2026-07-17,0,Delivered
74,98,FedEx,2026-07-12,2026-07-12,0,Delivered
75,99,USPS,2026-07-12,2026-07-11,0,Delivered
76,100,FedEx,2026-07-16,2026-07-15,0,Delivered
77,101,USPS,2026-07-17,2026-07-17,0,Delivered
78,102,FedEx,2026-07-13,2026-07-13,0,Delivered
79,103,UPS,2026-07-16,2026-07-17,1,Delivered
80,106,UPS,2026-07-14,2026-07-15,1,Delivered
81,107,FedEx,2026-07-15,2026-07-16,1,Delayed
82,108,USPS,2026-07-13,2026-07-14,1,Delivered
83,110,USPS,2026-07-16,2026-07-17,1,Delivered
84,111,DHL,2026-07-13,2026-07-12,0,Delivered
85,112,UPS,2026-07-16,2026-07-17,1,Delayed
86,113,DHL,2026-07-14,2026-07-18,4,Delayed
87,114,USPS,2026-07-13,2026-07-14,1,Delayed
88,115,USPS,2026-07-13,2026-07-13,0,Delivered
89,116,UPS,2026-07-14,2026-07-13,0,Delivered
90,117,DHL,2026-07-12,2026-07-11,0,Delivered
91,118,USPS,2026-07-14,2026-07-13,0,Delivered
92,119,USPS,2026-07-13,2026-07-16,3,Delayed
93,120,FedEx,2026-07-12,2026-07-18,6,Delayed
94,121,FedEx,2026-07-15,2026-07-15,0,Delivered
95,124,USPS,2026-07-17,2026-07-16,0,Delivered
96,125,FedEx,2026-07-17,2026-07-18,1,Delivered
97,126,UPS,2026-07-16,2026-07-16,0,Delivered
98,127,DHL,2026-07-13,2026-07-12,0,Delivered
99,128,FedEx,2026-07-14,2026-07-14,0,Delivered
100,129,FedEx,2026-07-14,2026-07-15,1,Delivered
101,131,UPS,2026-07-12,2026-07-12,0,Delivered
102,132,DHL,2026-07-12,2026-07-15,3,Delayed
103,133,DHL,2026-07-15,2026-07-14,0,Delivered
104,134,FedEx,2026-07-16,2026-07-16,0,Delivered
105,136,FedEx,2026-07-14,2026-07-13,0,Delivered
106,137,UPS,2026-07-15,2026-07-20,5,Delayed
107,138,FedEx,2026-07-17,2026-07-20,3,Delayed
108,139,FedEx,2026-07-17,2026-07-16,0,Delivered
109,140,UPS,2026-07-15,2026-07-16,1,Delivered
110,141,USPS,2026-07-15,2026-07-14,0,Delivered
111,143,DHL,2026-07-14,2026-07-14,0,Delivered
112,144,UPS,2026-07-15,2026-07-16,1,Delivered
113,145,FedEx,2026-07-16,2026-07-15,0,Delivered
114,146,USPS,2026-07-16,2026-07-17,1,Delivered
115,148,FedEx,2026-07-14,2026-07-15,1,Delivered
116,149,UPS,2026-07-12,2026-07-12,0,Delivered
117,150,DHL,2026-07-14,2026-07-14,0,Delivered
118,151,FedEx,2026-07-17,2026-07-18,1,Delivered
119,152,FedEx,2026-07-12,2026-07-12,0,Delivered
120,153,USPS,2026-07-14,2026-07-15,1,Delivered
121,154,FedEx,2026-07-13,2026-07-13,0,Delivered
122,155,UPS,2026-07-16,2026-07-16,0,Delivered
123,156,DHL,2026-07-12,2026-07-18,6,Delayed
124,157,FedEx,2026-07-12,2026-07-11,0,Delivered
125,158,FedEx,2026-07-12,2026-07-16,4,Delayed
126,159,USPS,2026-07-12,2026-07-18,6,Delayed
127,162,UPS,2026-07-17,2026-07-18,1,Delivered
128,163,DHL,2026-07-12,2026-07-13,1,Delivered
129,164,USPS,2026-07-12,2026-07-11,0,Delivered
130,165,DHL,2026-07-12,2026-07-13,1,Delivered
131,168,UPS,2026-07-14,2026-07-14,0,Delivered
132,169,UPS,2026-07-17,2026-07-22,5,Delayed
133,170,UPS,2026-07-16,2026-07-17,1,Delayed
134,171,DHL,2026-07-12,2026-07-13,1,Delivered
135,172,USPS,2026-07-12,2026-07-13,1,Delivered
136,173,FedEx,2026-07-13,2026-07-19,6,Delayed
137,174,USPS,2026-07-16,2026-07-15,0,Delivered
138,175,UPS,2026-07-17,2026-07-23,6,Delayed
139,176,USPS,2026-07-17,2026-07-18,1,Delivered
140,178,USPS,2026-07-12,2026-07-14,2,Delayed
141,179,USPS,2026-07-16,2026-07-15,0,Delivered
142,180,UPS,2026-07-14,2026-07-15,1,Delivered
143,182,USPS,2026-07-14,2026-07-15,1,Delivered
144,183,FedEx,2026-07-17,2026-07-16,0,Delivered
145,184,UPS,2026-07-15,2026-07-16,1,Delivered
146,185,USPS,2026-07-14,2026-07-14,0,Delivered
147,187,DHL,2026-07-12,2026-07-12,0,Delivered
148,188,DHL,2026-07-16,2026-07-19,3,Delayed
149,192,UPS,2026-07-14,2026-07-13,0,Delivered
150,193,UPS,2026-07-12,2026-07-13,1,Delivered
151,194,FedEx,2026-07-16,2026-07-17,1,Delivered
152,195,FedEx,2026-07-12,2026-07-15,3,Delayed
153,196,FedEx,2026-07-13,2026-07-14,1,Delivered
154,197,DHL,2026-07-13,2026-07-13,0,Delivered
155,199,DHL,2026-07-16,2026-07-15,0,Delivered
156,200,FedEx,2026-07-17,2026-07-17,0,Delivered
157,202,DHL,2026-07-15,2026-07-16,1,Delivered
158,204,USPS,2026-07-16,2026-07-15,0,Delivered
159,205,UPS,2026-07-12,2026-07-12,0,Delivered
160,207,FedEx,2026-07-15,2026-07-14,0,Delivered
161,208,DHL,2026-07-17,2026-07-18,1,Delivered
162,209,DHL,2026-07-17,2026-07-17,0,Delivered
163,210,FedEx,2026-07-14,2026-07-14,0,Delivered
164,211,FedEx,2026-07-14,2026-07-13,0,Delivered
165,213,USPS,2026-07-12,2026-07-12,0,Delivered
166,214,FedEx,2026-07-16,2026-07-15,0,Delivered
167,217,FedEx,2026-07-15,2026-07-15,0,Delivered
168,218,DHL,2026-07-13,2026-07-13,0,Delivered
169,220,USPS,2026-07-16,2026-07-15,0,Delivered
170,222,FedEx,2026-07-16,2026-07-17,1,Delivered
171,223,USPS,2026-07-13,2026-07-12,0,Delivered
172,225,FedEx,2026-07-15,2026-07-14,0,Delivered
173,226,UPS,2026-07-13,2026-07-17,4,Delayed
174,229,DHL,2026-07-17,2026-07-16,0,Delivered
175,231,UPS,2026-07-17,2026-07-17,0,Delivered
176,233,DHL,2026-07-13,2026-07-14,1,Delivered
177,235,USPS,2026-07-14,2026-07-17,3,Delayed
178,236,FedEx,2026-07-16,2026-07-17,1,Delayed
179,238,DHL,2026-07-13,2026-07-12,0,Delivered
180,239,FedEx,2026-07-12,2026-07-11,0,Delivered
181,240,DHL,2026-07-14,2026-07-20,6,Delayed
182,242,UPS,2026-07-14,2026-07-13,0,Delivered
183,243,FedEx,2026-07-13,2026-07-12,0,Delivered
184,246,USPS,2026-07-16,2026-07-16,0,Delivered
185,247,DHL,2026-07-16,2026-07-15,0,Delivered
186,248,DHL,2026-07-15,2026-07-16,1,Delivered
187,249,FedEx,2026-07-14,2026-07-17,3,Delayed
188,250,USPS,2026-07-17,2026-07-16,0,Delivered
189,251,USPS,2026-07-17,2026-07-16,0,Delivered
190,252,UPS,2026-07-17,2026-07-18,1,Delivered
191,255,USPS,2026-07-12,2026-07-18,6,Delayed
192,259,DHL,2026-07-13,2026-07-14,1,Delivered
193,260,DHL,2026-07-14,2026-07-15,1,Delivered
194,262,DHL,2026-07-13,2026-07-17,4,Delayed
195,263,UPS,2026-07-12,2026-07-13,1,Delivered
196,265,FedEx,2026-07-14,2026-07-15,1,Delivered
197,266,UPS,2026-07-12,2026-07-12,0,Delivered
198,267,UPS,2026-07-17,2026-07-18,1,Delivered
199,268,DHL,2026-07-12,2026-07-12,0,Delivered
200,270,FedEx,2026-07-16,2026-07-15,0,Delivered
201,273,FedEx,2026-07-14,2026-07-15,1,Delivered
202,274,FedEx,2026-07-12,2026-07-13,1,Delivered
203,275,USPS,2026-07-15,2026-07-14,0,Delivered
204,276,USPS,2026-07-14,2026-07-14,0,Delivered
205,277,FedEx,2026-07-16,2026-07-22,6,Delayed
206,278,FedEx,2026-07-16,2026-07-15,0,Delivered
207,280,FedEx,2026-07-14,2026-07-15,1,Delivered
208,281,FedEx,2026-07-15,2026-07-14,0,Delivered
209,282,DHL,2026-07-14,2026-07-19,5,Delayed
210,284,DHL,2026-07-13,2026-07-12,0,Delivered
211,287,USPS,2026-07-14,2026-07-14,0,Delivered
212,289,UPS,2026-07-14,2026-07-15,1,Delivered
213,290,FedEx,2026-07-13,2026-07-12,0,Delivered
214,292,UPS,2026-07-13,2026-07-18,5,Delayed
215,293,FedEx,2026-07-16,2026-07-15,0,Delivered
216,294,DHL,2026-07-13,2026-07-13,0,Delivered
217,298,USPS,2026-07-17,2026-07-16,0,Delivered
218,299,USPS,2026-07-17,2026-07-16,0,Delivered
219,300,FedEx,2026-07-15,2026-07-14,0,Delivered
220,301,UPS,2026-07-13,2026-07-14,1,Delayed
221,302,FedEx,2026-07-15,2026-07-16,1,Delivered
222,305,USPS,2026-07-13,2026-07-17,4,Delayed
223,306,FedEx,2026-07-17,2026-07-17,0,Delivered
224,307,USPS,2026-07-15,2026-07-14,0,Delivered
225,308,DHL,2026-07-17,2026-07-18,1,Delivered
226,309,DHL,2026-07-16,2026-07-20,4,Delayed
227,310,DHL,2026-07-13,2026-07-13,0,Delivered
228,314,DHL,2026-07-16,2026-07-17,1,Delivered
229,315,UPS,2026-07-13,2026-07-13,0,Delivered
230,316,UPS,2026-07-14,2026-07-14,0,Delivered
231,318,FedEx,2026-07-16,2026-07-17,1,Delivered
232,319,DHL,2026-07-15,2026-07-15,0,Delivered
233,320,FedEx,2026-07-17,2026-07-16,0,Delivered
234,321,DHL,2026-07-15,2026-07-15,0,Delivered
235,323,FedEx,2026-07-13,2026-07-14,1,Delivered
236,324,FedEx,2026-07-15,2026-07-18,3,Delayed
237,325,DHL,2026-07-17,2026-07-16,0,Delivered
238,326,DHL,2026-07-17,2026-07-17,0,Delivered
239,327,FedEx,2026-07-16,2026-07-17,1,Delivered
240,328,FedEx,2026-07-15,2026-07-14,0,Delivered
241,330,FedEx,2026-07-14,2026-07-15,1,Delivered
242,331,DHL,2026-07-13,2026-07-12,0,Delivered
243,332,USPS,2026-07-15,2026-07-16,1,Delivered
244,334,FedEx,2026-07-14,2026-07-13,0,Delivered
245,335,DHL,2026-07-13,2026-07-16,3,Delayed
246,336,DHL,2026-07-15,2026-07-15,0,Delivered
247,337,FedEx,2026-07-16,2026-07-15,0,Delivered
248,338,USPS,2026-07-16,2026-07-16,0,Delivered
249,339,DHL,2026-07-15,2026-07-20,5,Delayed
250,340,FedEx,2026-07-13,2026-07-13,0,Delivered
251,341,UPS,2026-07-12,2026-07-13,1,Delayed
252,342,UPS,2026-07-12,2026-07-13,1,Delayed
253,344,DHL,2026-07-14,2026-07-13,0,Delivered
254,345,UPS,2026-07-15,2026-07-14,0,Delivered
255,346,FedEx,2026-07-16,2026-07-17,1,Delivered
256,347,DHL,2026-07-15,2026-07-15,0,Delivered
257,348,UPS,2026-07-12,2026-07-12,0,Delivered
258,350,DHL,2026-07-15,2026-07-15,0,Delivered
259,351,UPS,2026-07-14,2026-07-13,0,Delivered
260,352,FedEx,2026-07-14,2026-07-15,1,Delivered
261,353,DHL,2026-07-17,2026-07-18,1,Delayed
262,354,DHL,2026-07-16,2026-07-17,1,Delivered
263,355,UPS,2026-07-15,2026-07-16,1,Delivered
264,357,UPS,2026-07-15,2026-07-15,0,Delivered
265,358,UPS,2026-07-16,2026-07-17,1,Delivered
266,359,USPS,2026-07-13,2026-07-13,0,Delivered
267,363,FedEx,2026-07-15,2026-07-16,1,Delivered
268,364,DHL,2026-07-17,2026-07-16,0,Delivered
269,365,DHL,2026-07-12,2026-07-18,6,Delayed
270,366,USPS,2026-07-17,2026-07-18,1,Delivered
271,367,FedEx,2026-07-15,2026-07-18,3,Delayed
272,368,UPS,2026-07-12,2026-07-13,1,Delivered
273,369,UPS,2026-07-14,2026-07-14,0,Delivered
274,370,DHL,2026-07-16,2026-07-15,0,Delivered
275,374,DHL,2026-07-17,2026-07-17,0,Delivered
276,375,USPS,2026-07-13,2026-07-16,3,Delayed
277,376,FedEx,2026-07-15,2026-07-16,1,Delivered
278,377,UPS,2026-07-15,2026-07-19,4,Delayed
279,378,DHL,2026-07-15,2026-07-15,0,Delivered
280,379,UPS,2026-07-16,2026-07-17,1,Delivered
281,380,UPS,2026-07-16,2026-07-15,0,Delivered
282,381,UPS,2026-07-14,2026-07-16,2,Delayed
283,383,FedEx,2026-07-12,2026-07-12,0,Delivered
284,384,DHL,2026-07-16,2026-07-15,0,Delivered
285,385,DHL,2026-07-14,2026-07-14,0,Delivered
286,387,FedEx,2026-07-14,2026-07-14,0,Delivered
287,388,FedEx,2026-07-14,2026-07-14,0,Delivered
288,389,UPS,2026-07-16,2026-07-15,0,Delivered
289,390,USPS,2026-07-12,2026-07-11,0,Delivered
290,392,FedEx,2026-07-16,2026-07-20,4,Delayed
291,393,UPS,2026-07-13,2026-07-13,0,Delivered
292,394,FedEx,2026-07-14,2026-07-15,1,Delayed
293,395,USPS,2026-07-13,2026-07-13,0,Delivered
294,396,DHL,2026-07-17,2026-07-16,0,Delivered
295,397,DHL,2026-07-14,2026-07-15,1,Delivered
296,401,DHL,2026-07-14,2026-07-13,0,Delivered
297,402,UPS,2026-07-16,2026-07-17,1,Delivered
298,403,FedEx,2026-07-12,2026-07-12,0,Delivered
299,405,UPS,2026-07-14,2026-07-17,3,Delayed
300,407,DHL,2026-07-16,2026-07-16,0,Delivered
301,408,DHL,2026-07-14,2026-07-17,3,Delayed
302,409,DHL,2026-07-12,2026-07-13,1,Delivered
303,410,UPS,2026-07-13,2026-07-14,1,Delivered
304,411,UPS,2026-07-14,2026-07-20,6,Delayed
305,412,UPS,2026-07-16,2026-07-15,0,Delivered
306,414,USPS,2026-07-16,2026-07-17,1,Delivered
307,415,DHL,2026-07-12,2026-07-16,4,Delayed
308,416,USPS,2026-07-12,2026-07-11,0,Delivered
309,417,USPS,2026-07-15,2026-07-20,5,Delayed
310,418,FedEx,2026-07-16,2026-07-16,0,Delivered
311,420,DHL,2026-07-17,2026-07-18,1,Delivered
312,421,USPS,2026-07-15,2026-07-14,0,Delivered
313,424,USPS,2026-07-12,2026-07-13,1,Delivered
314,425,FedEx,2026-07-15,2026-07-14,0,Delivered
315,426,USPS,2026-07-16,2026-07-16,0,Delivered
316,428,UPS,2026-07-13,2026-07-14,1,Delivered
317,430,DHL,2026-07-14,2026-07-13,0,Delivered
318,431,USPS,2026-07-15,2026-07-19,4,Delayed
319,432,FedEx,2026-07-13,2026-07-13,0,Delivered
320,433,DHL,2026-07-16,2026-07-22,6,Delayed
321,434,UPS,2026-07-14,2026-07-13,0,Delivered
322,436,USPS,2026-07-16,2026-07-17,1,Delivered
323,438,FedEx,2026-07-13,2026-07-14,1,Delivered
324,439,FedEx,2026-07-15,2026-07-15,0,Delivered
325,442,UPS,2026-07-17,2026-07-17,0,Delivered
326,443,DHL,2026-07-16,2026-07-15,0,Delivered
327,444,USPS,2026-07-17,2026-07-18,1,Delivered
328,445,UPS,2026-07-12,2026-07-12,0,Delivered
329,446,FedEx,2026-07-16,2026-07-20,4,Delayed
330,447,DHL,2026-07-14,2026-07-13,0,Delivered
331,448,UPS,2026-07-17,2026-07-17,0,Delivered
332,449,DHL,2026-07-15,2026-07-14,0,Delivered
333,450,DHL,2026-07-13,2026-07-14,1,Delivered
334,451,UPS,2026-07-13,2026-07-13,0,Delivered
335,453,FedEx,2026-07-15,2026-07-15,0,Delivered
336,454,UPS,2026-07-13,2026-07-13,0,Delivered
337,455,UPS,2026-07-16,2026-07-17,1,Delivered
338,456,DHL,2026-07-15,2026-07-15,0,Delivered
339,457,USPS,2026-07-16,2026-07-21,5,Delayed
340,459,UPS,2026-07-13,2026-07-12,0,Delivered
341,460,UPS,2026-07-16,2026-07-15,0,Delivered
342,462,FedEx,2026-07-12,2026-07-11,0,Delivered
343,464,UPS,2026-07-15,2026-07-15,0,Delivered
344,465,USPS,2026-07-17,2026-07-17,0,Delivered
345,466,USPS,2026-07-16,2026-07-18,2,Delayed
346,468,UPS,2026-07-13,2026-07-17,4,Delayed
347,470,FedEx,2026-07-15,2026-07-21,6,Delayed
348,471,DHL,2026-07-13,2026-07-19,6,Delayed
349,472,USPS,2026-07-13,2026-07-13,0,Delivered
350,473,USPS,2026-07-13,2026-07-19,6,Delayed
351,475,USPS,2026-07-15,2026-07-16,1,Delivered
352,476,USPS,2026-07-16,2026-07-21,5,Delayed
353,477,UPS,2026-07-16,2026-07-16,0,Delivered
354,478,DHL,2026-07-13,2026-07-18,5,Delayed
355,479,FedEx,2026-07-16,2026-07-17,1,Delivered
356,480,UPS,2026-07-17,2026-07-17,0,Delivered
357,482,USPS,2026-07-12,2026-07-13,1,Delivered
358,483,USPS,2026-07-17,2026-07-18,1,Delivered
359,484,UPS,2026-07-17,2026-07-23,6,Delayed
360,485,DHL,2026-07-15,2026-07-16,1,Delivered
361,486,DHL,2026-07-13,2026-07-14,1,Delivered
362,488,UPS,2026-07-17,2026-07-18,1,Delivered
363,489,DHL,2026-07-16,2026-07-19,3,Delayed
364,490,UPS,2026-07-15,2026-07-15,0,Delivered
365,491,UPS,2026-07-15,2026-07-15,0,Delivered
366,492,UPS,2026-07-13,2026-07-18,5,Delayed
367,494,DHL,2026-07-17,2026-07-17,0,Delivered
368,496,DHL,2026-07-17,2026-07-16,0,Delivered
369,497,DHL,2026-07-17,2026-07-18,1,Delivered
370,499,DHL,2026-07-14,2026-07-13,0,Delivered
371,500,UPS,2026-07-14,2026-07-15,1,Delivered
372,501,DHL,2026-07-14,2026-07-13,0,Delivered
373,502,FedEx,2026-07-16,2026-07-21,5,Delayed
374,503,UPS,2026-07-17,2026-07-16,0,Delivered
375,504,DHL,2026-07-17,2026-07-16,0,Delivered
376,506,FedEx,2026-07-14,2026-07-13,0,Delivered
377,507,USPS,2026-07-15,2026-07-15,0,Delivered
378,508,FedEx,2026-07-13,2026-07-14,1,Delivered
379,509,DHL,2026-07-13,2026-07-13,0,Delivered
380,510,DHL,2026-07-17,2026-07-16,0,Delivered
381,511,UPS,2026-07-13,2026-07-13,0,Delivered
382,512,FedEx,2026-07-15,2026-07-16,1,Delivered
383,514,USPS,2026-07-15,2026-07-15,0,Delivered
384,515,DHL,2026-07-14,2026-07-18,4,Delayed
385,516,USPS,2026-07-14,2026-07-14,0,Delivered
386,517,DHL,2026-07-17,2026-07-18,1,Delivered
387,518,UPS,2026-07-12,2026-07-13,1,Delivered
388,521,UPS,2026-07-15,2026-07-16,1,Delivered
389,522,UPS,2026-07-14,2026-07-13,0,Delivered
390,523,FedEx,2026-07-17,2026-07-17,0,Delivered
391,525,UPS,2026-07-17,2026-07-16,0,Delivered
392,526,UPS,2026-07-17,2026-07-16,0,Delivered
393,528,DHL,2026-07-16,2026-07-17,1,Delayed
394,529,DHL,2026-07-12,2026-07-13,1,Delivered
395,530,UPS,2026-07-17,2026-07-16,0,Delivered
396,532,DHL,2026-07-14,2026-07-15,1,Delayed
397,533,FedEx,2026-07-12,2026-07-13,1,Delivered
398,535,DHL,2026-07-16,2026-07-17,1,Delivered
399,536,USPS,2026-07-12,2026-07-11,0,Delivered
400,539,FedEx,2026-07-17,2026-07-18,1,Delivered
401,540,UPS,2026-07-12,2026-07-12,0,Delivered
402,543,USPS,2026-07-15,2026-07-14,0,Delivered
403,544,UPS,2026-07-14,2026-07-15,1,Delivered
404,545,UPS,2026-07-14,2026-07-15,1,Delayed
405,546,DHL,2026-07-12,2026-07-12,0,Delivered
406,547,FedEx,2026-07-14,2026-07-14,0,Delivered
407,548,USPS,2026-07-15,2026-07-17,2,Delayed
408,549,FedEx,2026-07-13,2026-07-12,0,Delivered
409,550,DHL,2026-07-16,2026-07-15,0,Delivered
410,551,DHL,2026-07-15,2026-07-14,0,Delivered
411,552,UPS,2026-07-12,2026-07-18,6,Delayed
412,553,FedEx,2026-07-15,2026-07-19,4,Delayed
413,555,USPS,2026-07-17,2026-07-16,0,Delivered
414,556,USPS,2026-07-14,2026-07-17,3,Delayed
415,558,USPS,2026-07-16,2026-07-22,6,Delayed
416,560,DHL,2026-07-15,2026-07-16,1,Delivered
417,562,USPS,2026-07-16,2026-07-16,0,Delivered
418,565,UPS,2026-07-12,2026-07-12,0,Delivered
419,566,DHL,2026-07-17,2026-07-16,0,Delivered
420,568,DHL,2026-07-14,2026-07-14,0,Delivered
421,569,FedEx,2026-07-15,2026-07-15,0,Delivered
422,572,FedEx,2026-07-13,2026-07-13,0,Delivered
423,573,UPS,2026-07-14,2026-07-13,0,Delivered
424,574,USPS,2026-07-15,2026-07-21,6,Delayed
425,575,FedEx,2026-07-17,2026-07-18,1,Delayed
426,576,FedEx,2026-07-12,2026-07-13,1,Delivered
427,577,UPS,2026-07-15,2026-07-16,1,Delivered
428,578,DHL,2026-07-15,2026-07-15,0,Delivered
429,579,DHL,2026-07-12,2026-07-12,0,Delivered
430,581,USPS,2026-07-15,2026-07-21,6,Delayed
431,582,FedEx,2026-07-17,2026-07-18,1,Delivered
432,583,DHL,2026-07-17,2026-07-16,0,Delivered
433,584,DHL,2026-07-17,2026-07-23,6,Delayed
434,587,DHL,2026-07-15,2026-07-16,1,Delivered
435,588,DHL,2026-07-13,2026-07-12,0,Delivered
436,589,DHL,2026-07-13,2026-07-13,0,Delivered
437,590,DHL,2026-07-15,2026-07-16,1,Delivered
438,591,FedEx,2026-07-12,2026-07-17,5,Delayed
439,592,UPS,2026-07-12,2026-07-12,0,Delivered
440,593,DHL,2026-07-17,2026-07-17,0,Delivered
441,595,UPS,2026-07-17,2026-07-16,0,Delivered
442,596,FedEx,2026-07-13,2026-07-14,1,Delivered
443,598,FedEx,2026-07-14,2026-07-17,3,Delayed
444,599,FedEx,2026-07-15,2026-07-18,3,Delayed
445,600,DHL,2026-07-15,2026-07-16,1,Delivered
446,601,USPS,2026-07-13,2026-07-19,6,Delayed
447,603,DHL,2026-07-13,2026-07-17,4,Delayed
448,605,UPS,2026-07-12,2026-07-13,1,Delayed
449,606,FedEx,2026-07-15,2026-07-15,0,Delivered
450,609,USPS,2026-07-13,2026-07-16,3,Delayed
451,610,DHL,2026-07-15,2026-07-14,0,Delivered
452,612,DHL,2026-07-16,2026-07-20,4,Delayed
453,613,UPS,2026-07-17,2026-07-17,0,Delivered
454,614,FedEx,2026-07-15,2026-07-17,2,Delayed
455,616,UPS,2026-07-12,2026-07-11,0,Delivered
456,617,FedEx,2026-07-16,2026-07-16,0,Delivered
457,618,FedEx,2026-07-14,2026-07-15,1,Delayed
458,619,USPS,2026-07-17,2026-07-17,0,Delivered
459,620,DHL,2026-07-13,2026-07-14,1,Delayed
460,621,USPS,2026-07-17,2026-07-16,0,Delivered
461,622,DHL,2026-07-14,2026-07-14,0,Delivered
462,623,FedEx,2026-07-12,2026-07-13,1,Delivered
463,624,DHL,2026-07-13,2026-07-13,0,Delivered
464,627,USPS,2026-07-12,2026-07-13,1,Delivered
465,628,FedEx,2026-07-16,2026-07-16,0,Delivered
466,629,FedEx,2026-07-17,2026-07-17,0,Delivered
467,630,FedEx,2026-07-12,2026-07-11,0,Delivered
468,632,USPS,2026-07-17,2026-07-16,0,Delivered
469,633,USPS,2026-07-13,2026-07-18,5,Delayed
470,634,FedEx,2026-07-12,2026-07-11,0,Delivered
471,635,UPS,2026-07-16,2026-07-16,0,Delivered
472,636,UPS,2026-07-13,2026-07-12,0,Delivered
473,637,DHL,2026-07-14,2026-07-16,2,Delayed
474,638,FedEx,2026-07-17,2026-07-17,0,Delivered
475,639,USPS,2026-07-12,2026-07-12,0,Delivered
